maxl,avgl,region,rrate,ind,catl,plts,pltrs,ots,blcl,status,trf,ur,cmt
437,46,sw,0,type2,type5,FALSE,FALSE,FALSE,type1,Type3,Type1,FALSE,type1
469,53,se,0,type1,type5,FALSE,FALSE,FALSE,type1,Type3,Type5,TRUE,type1
206,57,ct,0,type1,type5,FALSE,FALSE,FALSE,type1,Type2,Type4,FALSE,type2
344,43,nw,0,type2,type5,TRUE,FALSE,FALSE,type2,Type2,Type2,TRUE,type1
362,47,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type2,Type1,TRUE,type2
271,56,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type4,Type4,FALSE,type2
540,61,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type2
79,36,ne,0,type3,type5,FALSE,FALSE,FALSE,type2,Type3,Type3,TRUE,type1
500,46,nw,0,type4,type5,TRUE,FALSE,FALSE,type2,Type1,Type3,TRUE,type2
498,56,se,0,type1,type5,TRUE,FALSE,FALSE,type2,Type3,Type4,FALSE,type2
325,59,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type3,Type1,TRUE,type2
655,44,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type5,Type4,FALSE,type2
443,39,nw,0,type1,type5,FALSE,FALSE,FALSE,type2,Type2,Type1,FALSE,type1
329,31,sw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type3,Type5,FALSE,type2
197,57,se,0,type5,type5,FALSE,FALSE,FALSE,type2,Type4,Type4,TRUE,type2
395,35,nw,0,type1,type5,FALSE,FALSE,FALSE,type5,Type4,Type4,FALSE,type2
552,58,nw,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type4,FALSE,type1
364,38,nw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type1
429,25,sw,0,type5,type5,FALSE,FALSE,FALSE,type2,Type3,Type1,TRUE,type1
367,50,se,0,type3,type5,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type1
236,47,nw,0,type2,type5,FALSE,FALSE,FALSE,type2,Type4,Type3,FALSE,type2
498,41,ne,0,type3,type5,TRUE,FALSE,FALSE,type1,Type3,Type2,FALSE,type2
503,29,se,0,type1,type5,FALSE,FALSE,FALSE,type1,Type1,Type1,FALSE,type1
362,59,se,0,type2,type3,FALSE,FALSE,FALSE,type1,Type2,Type4,TRUE,type2
475,41,se,0,type2,type3,FALSE,FALSE,FALSE,type1,Type4,Type1,TRUE,type1
565,58,sw,0,type3,type3,FALSE,FALSE,FALSE,type1,Type5,Type1,FALSE,type1
370,47,nw,0,type2,type3,TRUE,FALSE,FALSE,type1,Type1,Type2,FALSE,type2
374,40,se,0,type1,type3,FALSE,FALSE,FALSE,type1,Type4,Type1,TRUE,type1
508,55,sw,0,type2,type4,FALSE,FALSE,FALSE,type1,Type3,Type1,TRUE,type2
464,23,ne,0,type4,type4,FALSE,FALSE,FALSE,type2,Type3,Type4,TRUE,type1
395,60,se,0,type3,type4,FALSE,FALSE,FALSE,type2,Type1,Type5,FALSE,type2
524,44,sw,0,type2,type4,FALSE,FALSE,FALSE,type2,Type4,Type3,TRUE,type1
336,41,nw,0,type1,type3,FALSE,FALSE,FALSE,type2,Type1,Type3,FALSE,type2
100,60,nw,0,type5,type5,TRUE,FALSE,TRUE,type2,Type4,Type1,TRUE,type2
497,48,nw,0,type2,type5,FALSE,FALSE,TRUE,type2,Type5,Type3,TRUE,type2
214,32,ne,0,type1,type5,FALSE,FALSE,TRUE,type2,Type5,Type5,TRUE,type2
264,30,ct,0,type4,type5,FALSE,FALSE,TRUE,type2,Type1,Type4,TRUE,type1
333,30,se,0,type3,type5,FALSE,FALSE,TRUE,type2,Type2,Type2,FALSE,type2
437,51,nw,0,type2,type5,TRUE,FALSE,TRUE,type2,Type2,Type4,FALSE,type2
588,41,se,0,type1,type1,FALSE,FALSE,TRUE,type2,Type4,Type4,TRUE,type2
584,48,sw,0,type2,type2,FALSE,FALSE,TRUE,type2,Type1,Type2,FALSE,type1
285,33,se,0,type2,type5,FALSE,FALSE,TRUE,type2,Type2,Type3,FALSE,type1
457,38,ct,0,type2,type5,FALSE,FALSE,TRUE,type2,Type2,Type5,TRUE,type1
645,34,se,0,type2,type5,FALSE,FALSE,TRUE,type2,Type4,Type4,FALSE,type1
425,45,sw,0,type2,type5,FALSE,FALSE,TRUE,type2,Type3,Type1,TRUE,type1
300,43,nw,0,type1,type5,TRUE,FALSE,FALSE,type2,Type2,Type1,TRUE,type1
318,58,se,0,type2,type5,FALSE,FALSE,FALSE,type2,Type4,Type3,TRUE,type1
261,33,sw,0,type1,type1,TRUE,FALSE,FALSE,type2,Type5,Type2,TRUE,type2
327,38,nw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type5,Type4,TRUE,type2
563,37,se,0,type2,type1,FALSE,FALSE,FALSE,type2,Type2,Type3,FALSE,type1
431,51,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type1,TRUE,type2
380,31,nw,0,type2,type1,TRUE,FALSE,FALSE,type2,Type1,Type4,FALSE,type2
451,48,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type2,Type3,FALSE,type2
383,32,nw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type4,Type3,TRUE,type1
426,43,sw,0,type2,type1,FALSE,FALSE,FALSE,type2,Type3,Type5,TRUE,type2
506,44,nw,0,type1,type1,FALSE,FALSE,FALSE,type2,Type3,Type3,TRUE,type1
415,50,se,0,type1,type1,FALSE,FALSE,FALSE,type2,Type1,Type5,TRUE,type1
547,28,sw,0,type5,type1,TRUE,FALSE,TRUE,type2,Type4,Type3,TRUE,type1
194,61,se,0,type2,type1,FALSE,FALSE,TRUE,type2,Type1,Type5,FALSE,type1
459,37,se,0,type3,type1,TRUE,FALSE,TRUE,type2,Type2,Type3,FALSE,type1
370,61,se,0,type2,type1,TRUE,FALSE,TRUE,type2,Type5,Type2,FALSE,type2
